City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2022-07-25 02:53:50,42.6001,-73.9662,74.26,85,99,6.44
1,Sangmelima,CM,2022-07-25 02:53:51,2.9333,11.9833,67.35,99,99,3.0
2,Kaeo,NZ,2022-07-25 02:53:51,-35.1,173.7833,63.32,97,100,20.92
3,Ushuaia,AR,2022-07-25 02:51:35,-54.8,-68.3,35.26,64,0,3.44
4,Terrace,CA,2022-07-25 02:53:52,54.5163,-128.6035,62.51,94,100,11.5
5,Saint Anthony,US,2022-07-25 02:53:52,45.0205,-93.218,71.2,60,40,9.22
6,Cockburn Town,TC,2022-07-25 02:50:51,21.4612,-71.1419,81.68,79,55,23.69
7,Jamestown,US,2022-07-25 02:50:40,42.097,-79.2353,75.72,89,40,8.05
8,Store Heddinge,DK,2022-07-25 02:53:53,55.3097,12.3889,62.28,79,99,12.39
9,Grand Gaube,MU,2022-07-25 02:53:54,-20.0064,57.6608,61.2,68,4,11.21
10,Casian,PH,2022-07-25 02:53:54,11.035,119.7136,84.45,70,78,2.3
11,Parrita,CR,2022-07-25 02:49:12,9.5201,-84.3225,77.29,85,52,3.38
12,Takoradi,GH,2022-07-25 02:50:37,4.8845,-1.7554,72.75,88,48,7.76
13,Cape Town,ZA,2022-07-25 02:53:33,-33.9258,18.4232,56.37,77,0,2.3
14,Amasya,TR,2022-07-25 02:53:55,40.6667,35.8333,55.08,83,0,1.97
15,Hobart,AU,2022-07-25 02:53:56,-42.8794,147.3294,58.26,76,40,6.91
16,Cherskiy,RU,2022-07-25 02:53:56,68.75,161.3,64.27,36,9,7.18
17,Loum,CM,2022-07-25 02:53:56,4.7182,9.7351,71.33,99,100,1.19
18,Tuktoyaktuk,CA,2022-07-25 02:49:28,69.4541,-133.0374,48.2,76,75,9.22
19,Kapaa,US,2022-07-25 02:51:55,22.0752,-159.319,84.18,69,20,14.97
20,Mataura,NZ,2022-07-25 02:53:57,-46.1927,168.8643,45.48,86,80,4.36
21,Margate,GB,2022-07-25 02:53:16,51.3813,1.3862,66.31,85,100,3.0
22,Yellowknife,CA,2022-07-25 02:53:58,62.456,-114.3525,61.32,88,75,11.5
23,Divnomorskoye,RU,2022-07-25 02:53:58,44.5011,38.1353,66.97,82,15,4.23
24,Dawei,MM,2022-07-25 02:53:59,14.0833,98.2,86.27,72,59,1.34
25,Bria,CF,2022-07-25 02:53:59,6.5423,21.9863,68.36,97,100,1.79
26,The Valley,AI,2022-07-25 02:50:02,18.217,-63.0578,82.09,79,12,23.96
27,Rikitea,PF,2022-07-25 02:54:00,-23.1203,-134.9692,75.42,80,17,15.95
28,Punta Arenas,CL,2022-07-25 02:54:00,-53.15,-70.9167,35.71,69,0,9.22
29,Butaritari,KI,2022-07-25 02:54:01,3.0707,172.7902,82.56,70,14,19.75
30,Haines Junction,CA,2022-07-25 02:54:02,60.7522,-137.5108,58.95,67,100,1.14
31,Edgewater,US,2022-07-25 02:54:02,28.9889,-80.9023,82.09,80,7,8.5
32,Mar Del Plata,AR,2022-07-25 02:54:02,-38.0023,-57.5575,51.1,96,100,12.66
33,Filadelfia,US,2022-07-25 02:50:57,39.9523,-75.1638,88.02,71,64,5.01
34,Nhulunbuy,AU,2022-07-25 02:54:03,-12.2333,136.7667,84.81,61,40,13.8
